ticker,fetch_status,has_price,has_market_cap,has_forward_eps,has_trailing_eps,has_icc,icc_method,unavailable_reason,mktcap
A,ok,True,True,True,True,True,forecast_icc,,42283687936.0
AA,ok,True,True,True,True,True,forecast_icc,,13472576512.0
AAC,failed,True,True,False,False,False,,missing_positive_eps,497152672.0
AAC-U,failed,False,False,False,False,False,,missing_price,
AAC-W,failed,False,False,False,False,False,,missing_price,
AACG,failed,True,True,False,False,False,,missing_positive_eps,38883108.0
AACI,failed,True,True,False,False,False,,missing_positive_eps,341659520.0
AACO,failed,True,True,False,False,False,,missing_positive_eps,312675840.0
AACP,failed,True,True,False,False,False,,missing_positive_eps,294245376.0
AADX,ok,True,True,True,False,True,forecast_icc,,2160090880.0
AAL,ok,True,True,True,False,True,forecast_icc,,8585750016.0
AAME,ok,True,True,False,True,True,trailing_eps_fallback_icc,,27740230.0
AAMI,ok,True,True,True,True,True,forecast_icc,,3273609216.0
AAOI,ok,True,True,True,False,True,forecast_icc,,8522892800.0
AAON,ok,True,True,True,True,True,forecast_icc,,6429734912.0
AAP,ok,True,True,True,True,True,forecast_icc,,2577263872.0
AAPG,failed,True,True,False,False,False,,missing_positive_eps,1621232128.0
AAPL,ok,True,True,True,True,True,forecast_icc,,4789955985408.0
AARD,failed,True,True,False,False,False,,missing_positive_eps,125400168.0
AAT,ok,True,True,True,True,True,forecast_icc,,1719005952.0
AAUC,failed,True,True,False,False,False,,missing_positive_eps,3349923328.0
ABAT,failed,True,True,False,False,False,,missing_positive_eps,371047200.0
ABBV,ok,True,True,True,True,True,forecast_icc,,459821580288.0
ABCB,ok,True,True,True,True,True,forecast_icc,,5759814656.0
ABCL,failed,True,True,False,False,False,,missing_positive_eps,3749227776.0
ABEO,failed,True,True,False,False,False,,missing_positive_eps,339101216.0
ABEV,ok,True,True,True,True,True,forecast_icc,,46876794880.0
ABG,ok,True,True,True,True,True,forecast_icc,,3867022336.0
ABLV,failed,True,True,False,False,False,,missing_positive_eps,51859412.0
ABM,ok,True,True,True,True,True,forecast_icc,,2766777088.0
ABNB,ok,True,True,True,True,True,forecast_icc,,110925045760.0
ABOS,failed,True,True,False,False,False,,missing_positive_eps,223460416.0
ABR,ok,True,True,True,True,True,forecast_icc,,1052159680.0
ABSI,failed,True,True,False,False,False,,missing_positive_eps,1510203392.0
ABT,ok,True,True,True,True,True,forecast_icc,,189491855360.0
ABTC,ok,True,True,True,False,True,forecast_icc,,1137796096.0
